lexicon,proportion
0,0.0
1,1.59275607026e-34
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,9.79989746096e-32
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,2.81208838941e-53
33,0.0
34,1.76809008877e-59
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,1.68585915019e-50
41,0.0
42,2.49342490772e-89
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,1.66329101859e-25
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,8.47317079792e-37
65,0.0
66,0.0
67,0.0
68,0.0
69,1.50248597335e-31
70,1.27450670576e-38
71,1.6815255766e-16
72,3.42129571223e-53
73,0.0
74,0.0
75,0.0
76,4.9500525034e-54
77,0.0
78,0.0
79,0.0
80,0.0
81,5.25475583232e-31
82,4.68586958373e-38
83,2.48003060605e-16
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,3.67399226918e-53
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,7.9929210286e-47
105,0.0
106,0.0
107,0.0
108,0.0
109,3.41133778877e-65
110,7.36489158057e-75
111,1.70289245569e-40
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,7.30689449351e-44
123,2.50541681651e-39
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,1.27545892199e-11
130,0.0
131,0.199999999987
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,5.58897551662e-27
157,0.0
158,0.0
159,0.0
160,1.96531365027e-31
161,0.0
162,4.53420647442e-28
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,3.41300552184e-29
169,0.0
170,4.27643027837e-45
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.8
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,3.30951418589e-40
195,1.16766991189e-18
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,9.00060158778e-52
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,1.54741301028e-49
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,2.66022340551e-27
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,1.86533195597e-27
253,0.0
254,0.0
255,0.0
